行\列,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
row0,0.2608,0.3269,0.1664,0.1103,0.1092,0.0980,0.1005,0.0999,0.1035,0.1259,0.2080,0.1511,0.1594,0.1484,0.1544,0.1544,0.1587,0.1795,0.1745,0.3305
row1,0.4021,0.3975,0.2001,0.0354,0.0348,0.0369,0.0346,0.0480,0.0540,0.0763,0.1257,0.0628,0.0705,0.0637,0.0591,0.0579,0.0627,0.1314,0.3794,0.5028
row2,0.4445,0.3830,0.2466,0.0348,0.0342,0.0313,0.0414,0.0256,0.0068,0.1004,0.0718,0.0661,0.0719,0.0645,0.0756,0.0885,0.0673,0.1169,0.1500,0.2720
row3,0.3921,0.3608,0.1968,0.0362,0.1095,0.1349,0.0299,-0.0030,0.0549,0.0899,0.0969,0.0879,0.1073,-0.0035,0.0087,0.0620,0.0620,0.1064,-0.0024,0.0880
row4,0.2126,0.2746,0.0787,0.0360,0.1459,0.1728,0.1025,-0.0029,0.0817,0.1035,0.0943,0.1330,0.5619,-0.0050,-0.0009,0.0370,0.0482,0.1278,-0.0039,0.1291
row5,0.1153,-0.0034,0.0468,0.0448,0.1809,0.1939,0.0148,0.0198,0.1131,0.0936,0.0907,0.1156,0.3252,-0.0037,-0.0054,-0.0034,-0.0042,0.0601,-0.0050,0.2031
row6,0.1157,-0.0039,0.0247,0.0235,0.0013,0.0004,-0.0035,0.0595,0.0988,0.0966,0.0918,0.1006,0.1263,-0.0048,-0.0043,-0.0050,-0.0050,-0.0048,-0.0024,0.1914
row7,0.1255,-0.0042,-0.0037,-0.0041,-0.0038,-0.0035,-0.0040,0.0886,0.0961,0.0924,0.0934,0.1020,0.1099,-0.0013,-0.0038,-0.0041,-0.0041,-0.0052,-0.0040,0.1815
row8,0.1159,-0.0014,0.0000,-0.0040,-0.0021,-0.0029,0.0071,0.1036,0.0977,0.1006,0.2106,0.0935,0.1032,0.0241,-0.0004,0.0001,-0.0029,0.0031,0.0024,0.1440
row9,0.1189,0.1565,0.2844,-0.0038,0.0162,0.0102,0.0010,0.0896,0.1016,0.2014,0.3552,0.0996,0.0890,0.0117,0.0219,0.0267,-0.0037,0.3873,0.2639,0.1412
row10,0.1139,0.1656,0.2724,-0.0052,0.0157,0.0113,0.0018,0.0907,0.0941,0.3435,0.2168,0.1013,0.1023,0.0131,0.0246,0.0276,-0.0045,0.3816,0.2554,0.1391
row11,0.1185,-0.0008,0.0004,-0.0046,-0.0026,-0.0031,0.0063,0.1033,0.0907,0.2128,0.0967,0.0897,0.1023,0.0219,0.0006,0.0016,-0.0029,0.0093,0.0037,0.1432
row12,0.1321,-0.0035,-0.0041,-0.0049,-0.0039,-0.0025,-0.0038,0.0963,0.0970,0.0914,0.1052,0.0908,0.1026,-0.0016,-0.0043,-0.0030,-0.0032,-0.0045,-0.0032,0.1927
row13,0.1209,-0.0032,-0.0045,-0.0041,-0.0045,-0.0045,-0.0037,0.0978,0.0982,0.0917,0.0921,0.1007,0.0880,-0.0048,0.0048,0.0051,0.0400,0.0465,-0.0038,0.2173
row14,0.1253,-0.0040,0.0209,-0.0037,-0.0048,-0.0037,-0.0036,0.2430,0.1134,0.0891,0.0958,0.1040,0.0536,0.0357,0.2727,0.2579,0.0805,0.0832,-0.0036,0.2043
row15,0.1234,-0.0033,0.0851,0.0323,0.0213,-0.0012,-0.0040,0.4379,0.1438,0.1049,0.0936,0.1044,-0.0029,0.1899,0.2754,0.2272,0.0571,0.1211,0.3979,0.2667
row16,0.1158,-0.0022,0.1018,0.0584,0.0585,0.0034,-0.0051,0.0874,0.1017,0.0863,0.0948,0.0746,-0.0023,0.0559,0.2215,0.1743,0.0639,0.2787,0.4876,0.4494
row17,0.2970,0.1717,0.1274,0.0660,0.0926,0.0751,0.0467,0.0712,0.0652,0.0661,0.1124,0.0279,0.0509,0.0812,0.0654,0.0585,0.0619,0.3361,0.5142,0.5447
row18,0.4994,0.3675,0.1291,0.0646,0.0609,0.0584,0.0616,0.0629,0.0672,0.1254,0.1019,0.0943,0.0856,0.0564,0.0596,0.0580,0.0606,0.2809,0.5274,0.4954
row19,0.3381,0.1748,0.1890,0.1504,0.1543,0.1521,0.1570,0.1514,0.1476,0.2073,0.1565,0.1522,0.1518,0.1502,0.1525,0.1568,0.1605,0.2233,0.4522,0.3148
